example_id                                                   | status  | run_time        |
./spec/models/post_spec.rb[1:1:2:1]                          | passed  | 0.00277 seconds |
./spec/models/post_spec.rb[1:1:2:2]                          | passed  | 0.00313 seconds |
./spec/models/post_spec.rb[1:1:2:3]                          | passed  | 0.00292 seconds |
./spec/models/post_spec.rb[1:1:2:4]                          | passed  | 0.00523 seconds |
./spec/models/post_spec.rb[1:1:3:1]                          | passed  | 0.00327 seconds |
./spec/models/post_spec.rb[1:1:3:2]                          | passed  | 0.0035 seconds  |
./spec/models/post_spec.rb[1:1:3:3]                          | passed  | 0.00299 seconds |
./spec/models/user_spec.rb[1:1:1]                            | passed  | 0.0047 seconds  |
./spec/models/user_spec.rb[1:1:2:1]                          | passed  | 0.00653 seconds |
./spec/models/user_spec.rb[1:1:2:2]                          | passed  | 0.00688 seconds |
./spec/models/user_spec.rb[1:1:2:3]                          | passed  | 0.00546 seconds |
./spec/models/user_spec.rb[1:1:2:4]                          | passed  | 0.01472 seconds |
./spec/models/user_spec.rb[1:1:2:5]                          | passed  | 0.00616 seconds |
./spec/models/user_spec.rb[1:1:3:1]                          | passed  | 0.00471 seconds |
./spec/models/user_spec.rb[1:1:3:2]                          | passed  | 0.00562 seconds |
./spec/models/user_spec.rb[1:1:3:3]                          | passed  | 0.01137 seconds |
./spec/models/user_spec.rb[1:1:3:4]                          | passed  | 0.00516 seconds |
./spec/models/user_spec.rb[1:1:4:1]                          | passed  | 0.00403 seconds |
./spec/models/user_spec.rb[1:1:4:2]                          | passed  | 0.00637 seconds |
./spec/models/user_spec.rb[1:1:4:3]                          | passed  | 0.00521 seconds |
./spec/models/user_spec.rb[1:1:4:4]                          | passed  | 0.0053 seconds  |
./spec/models/user_spec.rb[1:2:1]                            | passed  | 0.01128 seconds |
./spec/models/user_spec.rb[1:2:2]                            | passed  | 0.01313 seconds |
./spec/models/user_spec.rb[1:2:3]                            | passed  | 0.0197 seconds  |
./spec/models/user_spec.rb[1:2:4:1]                          | passed  | 0.0232 seconds  |
./spec/models/user_spec.rb[1:2:4:2]                          | passed  | 0.01078 seconds |
./spec/models/user_spec.rb[1:3:1]                            | passed  | 0.02062 seconds |
./spec/models/user_spec.rb[1:3:2]                            | passed  | 0.03425 seconds |
./spec/models/user_spec.rb[1:3:3]                            | passed  | 0.02726 seconds |
./spec/models/user_spec.rb[1:3:4]                            | passed  | 0.02947 seconds |
